Compound	Class	nring	nrot	ndonr	naccr	dis1	dis2	dis3	0c	1c	2c	3cP	3cC	4cPC	3cCH	4cCH	5cCH	6cCH	0cv	1cv	2cv	3cvP	3cvC	4cvPC	3cvCH	4cvCH	5cvCH	6cvCH	nhyd	nhal	nhet	nhev	ncof	ncocl	ncoi	ncarb	nphos	nsulph	noxy	nnitro	1k	2k	3k	1ka	2ka	3ka	phi	Shev	Scar	Shet	Shal	S(1)	S(2)	S(3)	S(4)	S(5)	S(6)	S(7)	S(8)	S(9)	S(10)	S(11)	S(12)	S(13)	S(14)	S(15)	S(16)	S(17)	S(18)	S(19)	S(20)	S(21)	S(22)	S(24)	S(25)	S(26)	S(27)	S(28)	S(29)	S(30)	S(31)	S(32)	S(33)	S(34)	S(35)	S(36)	S(37)	S(38)	S(39)	S(40)	S(41)	S(42)	S(43)	S(51)	S(54)	S(55)	S(56)	S(57)	S(60)	S(80)	Wmol	Vmc	pi	ea	eb	q+	q-	m	h	SN	IP	A	mcp	cen	w	AS	VS	MS	PSA	Sapc	Sanc	Sapcw	Sancw	Svpc	Svnc	Svpcw	Svncw
Acetylcysteine	-1	0	3	2	3	7.7285	12.256	15.4613	8.1463	4.5746	4.0419	2.2413	0.9082	1.3033	0	0	0	0	6.3898	3.3161	2.1391	1.2233	0.2568	0.3978	0	0	0	0	9	0	5	10	0	0	0	5	0	1	3	1	10	4.7603	4.48	9.45	4.2947	4.0087	4.0585	33.8889	-0.9293	34.8182	0	26.9594	0	25.8217	0	0	0	0	0	0	0	0	-5.2222	-5.1667	0	0	1.2633	0	0.1061	0	0	0	-0.8742	0	-1.0646	0	0	0	0	0	0	0	0	0	0	0	0	0	8.3585	20.5115	0	0	0	0	3.734	0	0	0	0	0	163.191	0.9949	0.0994	0.1267	0.1368	0.252	0.3776	3.4656	4.7332	0.2113	9.2569	-0.2094	-4.5238	4.5238	48.431	334.5443	174.9257	158.5828	96.3873	190.9683	143.5759	26.9464	32.6223	88.0896	86.8361	14.7234	19.6941
Aciclovir	-1	2	4	3	5	10.7822	14.323	20.4133	11.5436	7.7195	6.7148	5.3843	0.9632	2.1711	0	0	0.0962	0.0556	8.3814	4.6134	3.0987	1.9591	0.3128	0.5726	0	0	0.0289	0.014	11	0	8	16	0	0	0	8	0	0	3	5	12.4567	5.5577	2.8311	10.5832	4.289	2.0468	2.837	44.1667	1.9476	42.219	0	26.0701	7.0396	0	0	0	3.8468	0	0	0.6108	0	0	-5.9795	0	0	0	0	0	0.2997	0	1.4342	0	0	0	0	0.2137	0	0	0	5.419	0	2.3482	0	3.8967	3.9554	0	1.5383	0	8.5559	11.4106	5.0949	0	0	0	0	0	0	0	0	0	225.2066	1.1544	0.15	0.1221	0.1314	0.2588	0.3465	6.35	4.2333	0.2362	8.7184	0.2518	-4.4851	4.4851	42.5788	422.1057	224.0208	208.6562	105.3112	268.5383	153.5674	42.4654	38.5623	119.4464	104.5744	18.8815	21.6995
Adapalene	-1	6	4	1	3	16.7968	21.5253	31.9387	21.1646	15.0259	14.5383	12.7342	2.0636	4.8016	0	0	0	0.4489	17.9346	11.4891	10.1948	8.2296	1.2058	2.3878	0	0	0	0.317	28	0	3	31	0	0	0	28	0	0	3	0	21.5278	8.3405	3.8659	19.2145	7.0117	3.1398	4.346	64.0833	37.664	26.4193	0	30.4194	0	0	0	0	0	0	0	0	4.9473	0	-1.4893	0	0	0	1.8007	0	8.2463	0	0	18.3592	2.677	0	-0.8876	5.166	2.0214	0.2811	0	0	0	0	0	0	0	0	0	0	9.2615	11.282	5.8759	0	0	0	0	0	0	0	0	0	412.5274	1.7901	0.2188	0.1157	0.13	0.2511	0.3791	3.2595	3.8417	0.2603	8.5802	0.8967	-4.7384	4.7384	43.1286	652.7936	422.9355	368.5132	40.7746	477.6896	175.104	54.9615	30.9304	223.4518	199.4837	26.2389	27.2115
Albendazole	-1	2	5	2	3	16.0113	17.1704	28.6363	12.9578	8.7239	7.428	5.9192	1.0303	2.0934	0	0	0.0962	0.068	11.1347	6.6872	4.8977	3.5329	0.4384	0.7964	0	0	0.028	0.0241	15	0	6	18	0	0	0	12	0	1	2	3	14.41	6.9632	3.9958	12.9148	5.8803	3.2475	4.2191	41.6667	14.4786	27.188	0	0	4.3715	0	0	0	0	0	0	0	2.3599	0	-0.3471	0	0	0	3.4682	0	2.2238	0	0	6.0141	0	0	0.3977	2.9076	0	0	0	0	0	0	0	7.3003	0	0	0	0	0	11.0689	4.5128	0	0	0	0	0	1.797	0	0	0	265.3294	1.3605	0.163	0.1222	0.1262	0.2624	0.3892	4.7709	3.9786	0.2513	8.2012	0.244	-4.2226	4.2226	35.4699	492.6224	270.4264	250.6827	85.6236	363.2473	129.3751	45.5533	25.47	159.1618	111.2645	21.3489	20.0485
Alclometasone	-1	4	2	3	5	13.2283	15.606	24.8054	20.6459	13.0019	13.3325	12.4248	1.6379	4.2202	0	0	0.0589	0.1375	17.3166	10.5693	10.3517	9.078	1.1443	2.9119	0	0	0.0589	0.0974	29	1	6	28	0	1	0	22	0	0	5	0	21.2404	6.75	2.6406	20.2704	6.2426	2.4011	4.5193	70.8611	7.2027	63.6585	6.8646	102.5166	0	0	0	0	0	0	0	0.7876	0	0	-27.4237	-5.3427	0	0	5.7639	0	0.718	0	5.119	0	-1.7295	0	0.3255	0	0	-2.9943	0	0	0	0	0	0	0	0	0	0	32.2693	24.5245	0	0	0	0	0	0	0	0	6.8646	0	408.9211	1.6512	0.1739	0.1204	0.1451	0.215	0.3352	6.2909	4.8378	0.2067	10.0958	0.4202	-5.258	5.258	66.8747	548.3852	385.0908	312.5691	78.5092	382.752	165.6332	47.393	36.8805	217.0103	168.0805	26.1219	32.029
Alendronic_acid	-1	0	5	6	7	9.2798	12.6844	17.3556	11.6213	6.0607	6.9357	4.341	0	0	0	0	0	0	8.9345	6.8225	6.7632	5.5258	0	0	0	0	0	0	13	0	10	14	0	0	0	4	2	0	7	1	14	4.2449	2.9943	13.96	4.2197	2.9739	4.2077	55.3611	-4.2158	59.5769	0	139.4063	0	0	4.927	0	0	0	0	0	0	0	-13.45	0	0	0	0	0	-0.8957	0	0	0	0	0	0	0	0	-3.3201	5.0052	0	0	0	0	0	0	0	0	0	43.7416	21.4343	0	0	0	-10.6042	0	0	0	0	0	0	249.0967	1.3838	0.0788	0.1221	0.141	0.2698	1.0569	4.818	4.7163	0.212	9.6841	0.2516	-4.9678	4.9678	58.197	384.8284	225.112	194.8335	163.5256	243.1905	141.6379	45.9452	110.5965	125.7298	99.3822	78.5307	64.2462
Alitretinoin	-1	1	5	1	2	16.4151	19.0838	30.1025	16.7507	10.2201	9.8127	6.4093	1.3392	2.0695	0	0	0	0.0589	14.4409	7.8669	6.7612	4.1247	0.635	1.074	0	0	0	0.0442	28	0	2	22	0	0	0	20	0	0	2	0	20.0455	9.3333	7.4219	18.3792	8.0921	6.3296	6.7603	49.0833	29.8965	19.1868	0	28.2102	0	0	0	0	0	0	0	1.9633	0	0	-0.6607	-1.5702	0	0	10.7018	0	3.7219	0	11.2901	0	0	0	3.9229	0	0	0.2597	0	0	0	0	0	0	0	0	0	0	8.6528	10.534	0	0	0	0	0	0	0	0	0	0	300.44	1.8671	0.1579	0.1215	0.1328	0.2467	0.3764	2.2349	4.2749	0.2339	8.8601	0.3103	-4.5852	4.5852	44.9375	589.1932	377.0153	323.6861	33.4364	464.1517	125.0415	48.7916	29.3879	216.9367	160.0786	23.6776	27.4716
Allopurinol	-1	2	0	2	4	6.3928	9.2467	13.9838	6.9747	4.877	4.263	3.6832	0.5385	1.4402	0	0	0.1179	0.068	4.9436	2.7077	1.8296	1.227	0.1781	0.3654	0	0	0.0323	0.0144	4	0	5	10	0	0	0	5	0	0	1	4	6.6942	2.56	1.12	5.307	1.7438	0.6816	0.9254	26.5	3.8003	22.6997	0	28.3331	3.3499	0	0	0	0	0	0	-0.2118	-0.1501	0	0	0	0	0	0	0	0	0	1.4769	1.2737	0	0	0	1.0498	0	0	0	0	0	0	0	6.2739	7.3769	0	0	0	9.049	0	0	0	0	0	0	0	0	0	0	0	136.1128	0.636	0.1498	0.1186	0.141	0.2996	0.3235	0.6304	4.54	0.2203	9.6835	0.6036	-5.1436	5.1436	60.0553	265.5384	124.0432	119.3249	65.0861	144.6148	120.9236	30.838	22.2635	58.8574	65.1858	11.4323	12.4139
Altretamine	-1	1	3	0	3	8.9003	15.0186	19.1525	11.5854	6.9136	6.7194	4.6449	1.5	2.9916	0	0	0	0.068	10.1833	4.6957	3.9187	1.8	0.805	1.0025	0	0	0	0.0112	18	0	6	15	0	0	0	9	0	0	0	6	13.0667	5.3651	3.5	11.4846	4.2884	2.6779	3.2833	32	13.4583	18.5417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.4656	0	0	0	0	0	0	0	0	1.9928	0	0	0	0	0	0	0	0	12.9533	0	5.5883	0	0	0	0	0	0	0	0	0	0	0	0	0	210.2814	1.3836	0.1273	0.1337	0.1322	0.0835	0.3818	0.0002	4.8551	0.206	8.8052	-0.905	-3.9501	3.9501	37.8784	445.6965	258.6494	233.4663	39.417	400.7958	44.9007	35.8177	5.2319	161.9969	96.6525	18.0506	16.0493
Amcinonide	-1	6	4	1	8	14.8509	21.7332	29.6799	25.7254	16.9177	17.5229	16.0272	1.6295	3.552	0	0	0.2561	0.1346	21.1801	13.2773	12.2659	10.6912	0.7359	1.8573	0	0	0.208	0.0942	35	1	8	36	1	0	0	28	0	0	7	0	26.2344	8.4982	3.332	24.5885	7.6513	2.9362	5.226	89.25	4.2305	85.0195	17.4275	38.6441	0	0	0	0	0	0	0	1.979	0	0	-12.2289	-0.5121	0	0	4.9576	0	4.2288	0	4.5412	0	-2.8241	0	-0.3775	0	0	-6.2955	0	0	0	0	0	0	0	0	0	0	11.623	37.5466	18.4224	0	17.4275	0	0	0	0	0	0	0	502.5787	2.144	0.1693	0.122	0.1441	0.2082	0.365	6.5165	4.8674	0.2054	9.9966	0.2618	-5.1292	5.1292	64.0274	698.869	500.8889	401.9008	87.0645	514.4137	184.4553	58.7647	47.9654	289.1259	211.763	34.1673	43.1248
Amifostine	-1	0	7	4	3	13.3769	14.8684	25.6834	9.4497	5.5607	5.0784	2.2803	0	0	0	0	0	0	8.4819	6.8723	6.0652	3.3758	0	0	0	0	0	0	15	0	7	12	0	0	0	5	1	1	3	2	12	6.5089	11.1111	12.29	6.7682	11.3976	6.9318	35.6389	3.3632	32.2757	0	52.957	0	0	5.8791	2.9722	0	0	0	0	0	0	-8.2848	0	0	0	0	0	3.3632	0	0	0	0	0	0	0	0	0	5.2428	0	3.0147	0	0	0	0	0	0	0	16.8933	10.3297	0	0	0	-3.8693	0	0	0.6645	0	0	0	214.2189	1.3568	0.0967	0.1092	0.1417	0.2664	1.0166	5.3267	4.1009	0.2438	9.7478	1.546	-5.6469	5.6469	65.3841	424.9488	231.8131	211.5708	126.191	286.7323	138.2165	47.2335	97.5659	131.4887	100.3244	49.8736	49.4479
Amikacin	-1	3	10	13	13	18.0479	24.2701	33.8629	29.886	18.8519	17.0932	15.4528	3.1598	8.9378	0	0	0	0.1361	21.7015	13.0651	10.3342	7.5089	1.4924	3.0832	0	0	0	0.0977	43	0	18	40	0	0	0	22	0	0	13	5	34.4898	15.1346	7.7556	33.3335	14.3351	7.2581	11.946	118	-25.0171	143.0171	0	259.2603	0	0	23.8752	0	0	0	0	0	0	0	-110.1048	-5.7441	0	0	0	0	-1.097	0	0	0	-23.075	0	0	0	0	0	23.0782	0	0	0	0	0	0	0	0	0	82.3281	12.5784	22.509	0	0	0	0	0	0	0	0	0	585.6074	2.914	0.1279	0.1382	0.1407	0.2421	0.391	3.2097	5.5049	0.1817	9.649	-1.3608	-4.1441	4.1441	47.2691	822.6034	612.9117	490.981	318.3197	649.9886	172.6148	90.8087	55.3441	388.034	224.8777	49.6445	59.6821
Amiloride	-1	1	2	5	4	10.3293	12.7392	18.6718	11.5854	6.9136	6.6739	4.6639	1.4871	2.7335	0	0	0	0.0556	8.1686	4.0315	2.8593	1.6463	0.435	0.667	0	0	0	0.0125	8	1	9	15	0	1	0	6	0	0	1	7	13.0667	5.3651	3.5	10.9875	3.9644	2.4365	2.9039	46.6111	-1.9351	48.5463	5.5473	0	35.1176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5332	-0.6329	0	0	0	22.4823	0	0	0	0	7.2043	0	0	0	0	11.3255	0	0	0	0	0	0	0	0	5.5473	0	229.6285	1.16	0.1454	0.1216	0.1322	0.2765	0.4696	3.7689	4.2501	0.2353	8.8013	0.3011	-4.5512	4.5512	44.0173	391.4782	210.1273	194.3845	134.1513	286.6004	104.8778	51.127	32.6804	127.716	82.4114	23.8244	24.0974
Aminosalicylic_acid	-1	1	1	3	3	8.0044	9.6573	16.0006	8.4307	5.1091	4.8034	3.3542	0.9938	1.8385	0	0	0	0.068	5.6121	2.928	2.0817	1.2522	0.2786	0.432	0	0	0	0.0241	7	0	4	11	0	0	0	7	0	0	3	1	9.0909	3.6	2.2145	7.5558	2.5925	1.4727	1.7808	35.6667	2.6031	33.0636	0	55.6624	5.8744	0	0	0	0	0	0	0	-4.0735	0	0	0	0	0	0	0	0	0	0	3.8746	0	0	-1.1644	-0.1072	0	0	0	5.2747	0	0	0	0	0	0	0	0	9.0009	18.788	0	0	0	0	0	0	0	0	0	0	153.1372	0.7892	0.1429	0.1235	0.1326	0.2774	0.4199	3.3473	4.361	0.2293	8.8398	0.1179	-4.4789	4.4789	43.7406	300.2498	151.8767	142.1648	72.5443	184.3751	115.8746	37.0298	37.5142	85.4148	66.4619	16.9971	21.1393
Amobarbital	-1	1	4	2	3	8.2752	13.7754	18.1289	12.3449	7.4196	6.8979	5.3201	1.1052	1.6708	0	0	0	0.0481	9.9234	5.5895	4.6056	3.0754	0.5613	0.5861	0	0	0	0.0156	18	0	5	16	0	0	0	11	0	0	3	2	14.0625	5.5577	3.0297	12.6784	4.6342	2.4218	3.6722	44.0833	5.2148	38.8685	0	0	0	0	0	0	0	0	0	0	0	0	-1.0944	0	0	0	5.8567	0	1.6663	0	0	0	0.4182	0	-0.7189	0	0	-1.0712	0	0	0	0	0	0	0	0	0	0	0	34.5376	0	0	0	0	0	0	0	0	0	0	226.2748	1.1583	0.1334	0.1222	0.1561	0.2841	0.378	1.2496	5.4762	0.1826	11.1943	0.2418	-5.718	5.718	89.525	413.0626	251.5851	213.588	68.2613	300.7546	112.308	37.2035	36.6763	157.9818	93.6033	23.1263	24.9488
Amoxicillin	-1	3	4	4	5	15.113	18.0455	28.515	18.5161	11.6307	11.8187	9.4695	1.8888	4.7137	0	0.1111	0.068	0.0833	14.4873	8.5892	8.4245	6.0789	0.8234	2.0759	0	0.0745	0.0913	0.0278	19	0	9	25	0	0	0	16	0	1	5	3	19.7531	7.1973	3.5753	17.8693	6.0968	2.9282	4.3578	70.25	4.2382	66.0118	0	60.43	0	0	7.6679	0	0	0	0	0	-3.3893	0	-6.289	-2.0378	0	0	3.534	0	0	0	0	5.9045	-3.1158	0	-1.0566	0.5622	0	-0.6481	5.9076	0	0	0	0	0	0	0	0	0	18.6648	36.1605	0	0	0	0	0	0	1.353	0	0	0	365.4032	1.822	0.1464	0.1247	0.134	0.2572	0.3674	3.8069	4.4965	0.2224	8.9859	-0.007	-4.4894	4.4894	45.3134	574.9034	360.6868	312.0384	148.3072	383.3988	191.5046	54.6534	51.2687	210.3675	150.3193	30.8124	34.9188
Ampicillin	-1	3	4	3	4	14.4085	17.4276	28.2912	17.6459	11.2369	11.1969	9.0588	1.6001	4.3054	0	0.1111	0.068	0.1021	14.1174	8.4549	8.2436	5.9854	0.7489	1.9898	0	0.0745	0.0913	0.0321	19	0	8	24	0	0	0	16	0	1	4	3	18.7811	6.9575	3.36	16.9404	5.8725	2.7368	4.1451	64.5833	7.7579	56.8254	0	31.4184	0	0	7.8989	0	0	0	0	0	2.0441	0	-5.6561	-1.6134	0	0	3.5767	0	0	0	0	8.8768	-2.8749	0	-1.0332	0.6541	0	-0.6179	5.9392	0	0	0	0	0	0	0	0	0	9.3792	36.1194	0	0	0	0	0	0	1.3841	0	0	0	349.4038	1.7712	0.1452	0.1248	0.1351	0.2572	0.3674	3.9103	4.5542	0.2196	9.0947	-0.0137	-4.5405	4.5405	46.9448	562.0504	350.9285	303.9687	128.8476	385.2385	176.8119	52.2614	44.6645	198.0747	152.8538	28.9727	32.55
Amyl_nitrite	-1	0	5	0	3	9.3177	10.385	17.0323	6.2426	3.9142	2.4142	1.4571	0	0	0	0	0	0	5.0921	2.8609	1.6149	0.8919	0	0	0	0	0	0	11	0	3	8	0	0	0	5	0	0	2	1	8	7	7.2	7.56	6.56	6.7793	6.1992	21.5	5.7417	15.7583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0916	0	3.6501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2575	0	0	0	0	0	9.2958	4.205	0	0	0	0	0	0	0	0	0	117.1474	0.8317	0.1003	0.1211	0.1548	0.0969	0.3027	2.9353	5.3555	0.1867	11.0633	0.3522	-5.7077	5.7077	87.237	312.0844	154.7546	142.8262	38.3075	238.4715	73.6129	24.2968	16.7122	102.6153	52.1392	10.488	11.013
Anakinra	-1	3	10	3	9	15.6234	26.0853	30.215	25.2064	15.9506	15.4379	12.0993	2.2181	5.6969	0	0.1111	0.1179	0.0556	20.1959	11.8115	10.1784	6.7	0.958	2.3275	0	0.0745	0.0791	0.0559	23	0	14	34	0	0	0	20	0	2	7	5	28.5694	12.0299	6.6675	25.6787	10.1297	5.43	7.6506	94.0833	5.9996	88.0837	0	32.3993	7.6369	0	0	0	0	0	1.2694	0.186	0.7523	0	-2.3868	-0.8773	0	0	5.002	3.5921	-0.2262	0	1.3959	1.4763	-1.5974	0	-1.7951	0.2766	0	-0.7505	0	5.6545	0	0	0	3.7379	4.0132	0	0	0	0	58.6814	9.9598	0	0	0	0	0	1.295	1.0661	0	0	509.551	2.6835	0.1498	0.1202	0.1324	0.2729	0.3944	2.6005	4.1876	0.2388	8.8207	0.4456	-4.6332	4.6332	44.9457	773.0348	489.9519	463.6779	203.4092	554.4636	218.5712	86.7354	60.5767	288.1644	201.7874	46.5141	48.4846
Anastrozole	-1	2	6	0	4	10.0861	16.6586	20.3811	16.3805	10.2812	10.0374	7.979	0.6969	1.8749	0	0	0.1443	0.068	13.3299	7.0818	6.4853	3.8063	0.3662	0.8784	0	0	0.0298	0.0241	19	0	5	22	0	0	0	17	0	0	0	5	18.3403	7.2664	4.5211	15.7236	5.6144	3.3423	4.0126	52	23.4181	28.5819	0	0	0	0	0	0	0	0	0	1.9396	3.458	0	-0.3615	-0.2179	0	0	7.5188	0	0.5594	0	3.1393	5.9593	0	4.6454	0	2.8209	0	-1.2249	0	0	0	0	18.8067	8.0513	0	0	1.7239	0	0	0	0	0	0	0	0	0	0	0	0	0	293.3706	1.6585	0.1422	0.1204	0.1452	0.2153	0.2053	5.4005	4.8412	0.2066	10.1022	0.4199	-5.261	5.261	66.9979	528.6305	329.3764	291.7866	57.0628	318.5851	210.0454	36.0007	20.5341	151.4922	177.8842	16.6846	20.9715
Anisindione	-1	3	2	0	3	11.2822	15.0691	22.2314	13.4054	9.2195	8.0968	7.4529	1.139	3.3388	0	0	0.0642	0.1667	10.4209	6.0354	4.4803	3.4315	0.4986	1.1943	0	0	0.0361	0.0556	12	0	3	19	0	0	0	16	0	0	3	0	13.9592	5.78	2.4922	11.8093	4.4441	1.7903	2.7622	46.8333	17.1359	29.6974	0	0	0	0	0	0	0	0	0	0	6.868	0	0	-0.2761	0	0	1.5801	0	0	0	0	14.0349	-0.7053	0	-0.2393	2.4656	0	0	0	0	0	0	0	0	0	0	0	0	0	24.62	5.0775	0	0	0	0	0	0	0	0	0	252.269	1.2768	0.1755	0.1148	0.1348	0.1504	0.2514	3.4058	4.0348	0.2478	9.0569	0.9873	-5.0221	5.0221	50.8818	452.6567	255.3164	234.7685	38.2433	267.6226	185.0341	35.1192	32.2327	112.518	142.7985	16.5781	20.848
Atovaquone	-1	4	2	1	3	16.2309	18.6428	28.4529	18.2588	12.5586	11.4617	10.3571	1.7493	4.8042	0	0	0	0.287	14.9995	9.3079	7.5026	5.86	0.9484	2.1148	0	0	0	0.1545	19	1	4	26	0	1	0	22	0	0	3	0	19.3222	8.1633	3.8058	17.1972	6.8229	3.0543	4.5129	62.1111	20.4006	41.7105	5.9591	34.3145	0	0	0	0	0	0	0	0	4.5889	0	-3.183	-1.1062	0	0	0	0	3.4168	0	0	14.6278	0.3577	0	-0.6856	2.6839	0	0	0	0	0	0	0	0	0	0	0	0	10.415	25.3365	0	0	0	0	0	0	0	0	5.9591	0	366.8433	1.7638	0.1753	0.1085	0.1374	0.2445	0.2818	4.3732	3.8569	0.2593	9.3261	1.6123	-5.4692	5.4692	57.6848	581.8743	364.1991	320.5499	45.854	343.4648	238.4096	45.2793	30.5799	164.4061	199.793	21.9566	25.8354
Azathioprine	-1	3	3	1	6	9.06	12.4683	20.4275	13.4054	9.1647	8.4079	7.1406	1.3106	3.2855	0	0	0.2141	0.068	10.4566	5.9584	4.5995	3.5708	0.602	1.4493	0	0	0.0611	0.0144	7	0	10	19	0	0	0	9	0	1	2	7	13.9592	5.78	2.7412	11.592	4.3148	1.9089	2.6325	50.6667	7.8536	42.8131	0	0	4.2242	0	0	0	0	0	0	1.6054	0.9439	0	0	0	0	0	1.6858	0	0	0	2.8933	1.38	0	0	0.197	1.6975	0	0	0	0	0	0	0	10.7127	8.1135	0	1.0503	0	0	21.8015	0	0	0	0	0	0	1.1351	0	0	0	277.26	1.3162	0.1646	0.1108	0.1342	0.2714	0.3339	7.0843	3.8062	0.2627	9.0004	1.3879	-5.1942	5.1942	51.3454	420.2314	240.2114	218.5481	117.1572	241.2636	178.9678	44.1218	36.2287	110.9601	129.2513	21.3076	22.1968
Azelaic_acid	-1	0	8	2	4	13.6651	14.3682	23.9994	10.1044	6.1259	5.1328	2.5629	0.8165	0.5774	0	0	0	0	7.6607	4.5626	3.0552	1.7813	0.1291	0.0913	0	0	0	0	16	0	4	13	0	0	0	9	0	0	4	0	13	8.5917	12	11.94	7.582	10.94	6.9637	39.8333	3.0113	36.822	0	53.4126	0	0	0	0	0	0	0	0	0	0	-7.2973	-1.9753	0	0	0	0	4.5288	0	0	0	0	0	-1.5175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.822	0	0	0	0	0	0	0	0	0	0	188.223	1.1608	0.1036	0.1364	0.1581	0.2485	0.3758	3.1002	6.2832	0.1592	11.389	-1.1774	-5.1058	5.1058	81.8992	414.6449	229.1908	206.3133	66.8224	294.7898	119.855	39.893	39.7303	140.1711	89.0197	19.3789	23.0089
Aztreonam	-1	2	7	4	10	12.8953	16.8666	25.3688	21.4388	12.7527	13.511	9.8843	1.733	4.5494	0	0.1111	0.1179	0	16.4444	9.8556	8.4	5.4141	0.8185	2.058	0	0.0745	0.0791	0	17	0	15	28	0	0	0	13	0	2	8	5	24.2711	9.0133	5.5868	21.8358	7.5144	4.5247	5.8601	89.6667	-2.8062	92.4729	0	63.2306	7.3611	0	0	0	0	0	0	0	0.4695	0	-6.2238	0	0	0	3.6928	0	0	0	0	1.3625	-2.3123	0	-1.8121	0.061	0	-1.7694	0	5.526	0	0	0	3.5493	3.867	0	0	0	18.0644	57.8632	4.9203	0	0	0	0	-4.7563	0	0.9797	0	0	435.426	2.2332	0.1358	0.1053	0.1325	0.3031	0.9092	4.4367	3.4496	0.2899	8.8331	1.9339	-5.3835	5.3835	49.9876	590.2229	395.6274	333.5824	212.9289	386.0785	204.1444	81.8698	96.6616	219.0948	176.5326	70.8083	69.2318
Bacampicillin	-1	3	10	2	7	20.5821	22.9553	38.1641	23.629	15.0626	14.4006	11.314	2.0798	5.0122	0	0.1111	0.068	0.1021	19.0877	11.0923	9.7108	6.7812	0.8745	2.1507	0	0.0745	0.0913	0.0321	27	0	11	32	0	0	0	21	0	1	7	3	26.6021	11.16	5.9917	24.3347	9.6721	5.0449	7.3553	84.5833	8.7179	75.8655	0	0	0	0	8.2454	0	0	0	0	0	2.7159	0	-1.7353	-1.4158	0	0	6.6135	0	0.1218	0	0	8.834	-4.2489	0	-1.6628	0.6297	0	-0.6924	6.0236	0	0	0	0	0	0	0	0	0	0	49.6349	14.7342	0	0	0	0	0	1.3808	0	0	0	465.5202	2.4621	0.1403	0.1225	0.1356	0.2328	0.3676	3.5552	4.4647	0.224	9.1458	0.2164	-4.6811	4.6811	48.9169	756.9551	476.5593	415.4052	149.5397	543.3661	213.589	63.2062	53.5371	276.9928	199.5665	38.4388	44.7284
Bacitracin	-1	4	35	17	18	26.4668	38.5703	54.3351	74.3368	47.3869	42.6304	32.5089	7.4724	15.1695	0	0	0.2622	0.1021	58.9681	35.0914	26.9811	18.6275	3.5139	6.4	0	0	0.1491	0.0321	103	0	34	100	0	0	0	66	0	1	16	17	92.3838	49.2105	33.4034	83.3703	42.1445	27.8926	35.136	266.5	-6.7486	273.2486	0	68.3649	4.0679	0	16.2884	0	0	0	0	0.4547	2.7512	0	-29.0691	-14.0475	0	0	14.4755	0	-1.8859	0	2.7034	8.4865	-17.7648	0	-2.0357	0.5629	0	0	12.3011	0	0	0	0	11.4362	0	0	0	0	0	213.9743	0	0	0	0	0	0	1.3623	0	0	0	1422.704	5.4571	0.1766	0.122	0.1326	0.2775	0.4285	14.5687	4.2873	0.2332	8.841	0.2665	-4.5538	4.5538	44.4522	1649.0289	1357.6199	1077.2641	470.3561	1165.6718	483.3571	152.6361	155.9634	819.8	537.8199	118.7577	142.022
Baclofen	-1	1	4	2	2	9.9276	13.6165	17.6456	10.552	6.6302	5.8178	4.0257	1.0303	1.6139	0	0	0	0.0833	8.3677	4.683	3.5185	2.2989	0.4941	0.8248	0	0	0	0.0278	12	1	4	14	0	1	0	10	0	0	2	1	12.0714	5.7778	3.96	11.0173	4.9798	3.3164	3.9188	38.4444	8.0554	30.3891	5.7177	28.1102	0	0	6.5008	0	0	0	0	0	1.4222	0	-3.8728	-1.6181	0	0	0	0	0.381	0	0	7.0917	-0.1345	0	-0.8376	1.5548	0	0	5.4948	0	0	0	0	0	0	0	0	0	0	19.1765	0	0	0	0	0	0	0	0	5.7177	0	213.6633	1.1534	0.1273	0.1237	0.1402	0.2502	0.3736	2.4972	4.751	0.2105	9.6007	0.0986	-4.8496	4.8496	55.8699	394.0282	222.9962	198.6968	56.6099	216.7588	177.2694	32.4132	28.6703	98.8429	124.1533	14.9545	18.4483
Balsalazide	-1	2	7	4	8	18.2783	20.8824	35.5527	19.1041	12.3631	11.2244	8.3432	1.924	3.629	0	0	0	0.1514	13.4165	7.4469	5.1531	3.2454	0.5303	0.8733	0	0	0	0.0518	15	0	9	26	0	0	0	17	0	0	6	3	22.2908	11.1111	7.5102	18.9022	8.6037	5.5662	6.2549	77.8333	7.4381	70.3952	0	87.7994	0	0	0	0	0	0	0	0	-2.0771	0	-3.9431	0	0	0	0	0	-0.1335	0	0	9.8884	0	0	-2.2786	0.3652	0	0	0	0	0	0	0	7.8223	0	0	0	0	17.9701	42.1262	0	0	0	0	0	0	0	0	0	0	357.322	1.8264	0.1737	0.1148	0.1377	0.2797	0.4035	5.4885	4.1829	0.2391	9.3476	0.9818	-5.1647	5.1647	55.7871	605.2955	347.7197	318.9629	129.5801	338.9704	266.325	59.7188	66.0632	168.0272	179.6925	29.644	38.078
